year,state_name,crop_name,crop_type,cul_cost_c2,main_product_value,by_product_value,derived_yield,opr_cost_hmn_lab_family,opr_cost_hmn_lab_attached,opr_cost_hmn_lab_casual,opr_cost_ani_lab_hired,opr_cost_ani_lab_owned,opr_cost_mch_lab_hired,opr_cost_mch_lab_owned,opr_cost_seed,opr_cost_fertilizer,opr_cost_manure,opr_cost_insecticides
2018-19,Andhra Pradesh,Tur (Arhar),Pulses,40255.56,33426.65,1177.79,7.22,3844.94,0.0,9007.08,1889.4,36.84,2200.03,4592.92,1214.14,1910.54,1363.99,1852.44
2018-19,Bihar,Tur (Arhar),Pulses,37511.7,42133.33,2400.0,10.53,6447.32,0.0,4333.33,0.0,0.0,5000.0,0.0,2133.33,2166.68,0.0,0.0
2018-19,Chhattisgarh,Tur (Arhar),Pulses,25777.16,23032.27,2921.27,5.02,4760.07,0.0,3812.44,898.71,0.0,5799.65,0.0,1764.97,1129.43,0.0,0.0
2018-19,Gujarat,Tur (Arhar),Pulses,49193.26,41355.52,2768.99,7.59,11131.0,97.5,7908.66,329.29,5105.53,4979.45,1254.21,1031.58,982.42,1291.79,1406.23
2018-19,Karnataka,Tur (Arhar),Pulses,40818.6,37937.97,1278.44,7.38,4429.86,45.76,4541.48,2458.03,4246.57,5783.81,417.48,857.31,2697.88,499.83,2475.79
2018-19,Madhya Pradesh,Tur (Arhar),Pulses,39666.05,39189.8,3606.73,9.15,6107.34,49.38,6331.6,273.3,1251.46,4693.28,579.18,2298.82,1806.59,464.65,1314.53
2018-19,Maharashtra,Tur (Arhar),Pulses,70275.67,75008.17,2288.92,15.7,8503.9,104.22,12716.27,2581.37,2359.6,11224.68,432.92,1936.36,3424.9,560.87,5505.07
2018-19,Odisha,Tur (Arhar),Pulses,22556.67,25225.12,697.56,4.83,7532.18,1.39,2297.55,381.75,1605.5,693.18,1.87,905.99,158.28,4.9,49.12
2018-19,Tamil Nadu,Tur (Arhar),Pulses,75075.32,49036.56,698.81,8.51,27577.75,0.0,16404.04,0.0,0.0,4812.54,424.96,2338.11,1117.74,3311.48,394.35
2018-19,Telangana,Tur (Arhar),Pulses,30095.03,12679.9,1446.53,2.45,5803.78,24.64,3849.66,467.41,588.95,3404.34,1724.65,1224.46,2140.61,0.0,2251.21
